#15	#51	#53	#60
SoilW	SoilW	SoilW	SoilW
(%)	(%)	(%)	(%)
32.72065281	18.24642361	21.48949074	18.68243056
32.72366274	18.21442708	21.49145833	18.80388889
32.6709004	18.14119792	21.45696759	19.05731481
32.44402235	17.9865625	21.30865741	18.77085648
32.29671273	17.85838542	21.21236111	18.3550463
32.38970192	17.75883681	21.27314815	18.08956019
32.65436348	17.77574653	21.44615741	18.19569444
32.70648842	17.98305556	21.48023148	18.63011574
32.67341458	18.16385417	21.45861111	18.67034722
32.57958196	18.26292763	21.39727273	18.52201389
34.33086023	19.30275853	22.54208333	18.44208333
33.54349741	18.71648817	22.02738426	18.92599068
33.00907512	18.31855734	21.67803241	19.89270833
32.72879733	18.10986249	21.49481481	18.86006944
32.54072969	17.96982733	21.371875	18.48055556
32.40917796	17.87187391	21.28587963	18.31770833
32.2517408	17.7546462	21.18296296	18.14731481
32.14281667	17.67354129	21.11175926	18.10724537
32.12195961	17.65801113	21.098125	18.10423611
32.06817036	17.61795965	21.06296296	18.29127315
33.19248188	18.65168403	21.79792541	20.41
32.89090873	18.53472222	21.60078704	19.19641204
32.65156601	18.39215278	21.4443287	18.76189815
32.44430563	18.25270833	21.30884259	18.46895833
32.26700293	18.13090278	21.19293981	18.40694444
32.11370886	18.01782986	21.09273148	18.17018519
32.01576213	17.90541667	21.0287037	17.93409722
32.35567199	17.84470486	21.25090278	17.87050926
32.57851319	17.79053819	21.39657407	17.8806713
32.59168607	17.74760417	21.40518519	17.9199537
34.15490314	18.3209375	22.42706019	18.10872685
34.74029762	18.82461806	22.17990741	18.89738426
34.73717593	18.51994792	21.726875	20.39844907
34.73803241	18.32496528	21.4412963	19.21888889
34.77594907	18.55906205	21.2831713	18.56289352
34.68726852	18.52920331	21.19724537	18.21108796
34.79351981	18.56497812	21.13960648	17.98284722
34.78972222	18.56369947	21.26013889	17.94516204
34.7769213	17.66054167	21.6375	18.13114219
34.80240741	17.71026042	21.94969907	18.74203704
34.74625	17.74729167	21.83502315	19.80296296
34.7124537	17.70741319	21.58965278	19.37657407
34.75488426	17.61479021	21.385	18.64324074
34.76152778	17.56976277	21.28481481	18.11384259
34.79988426	17.53005208	21.70886574	17.97710648
34.84944444	17.88138889	23.15321759	18.02335648
34.89506944	18.87595486	22.92185185	19.4250463
34.93393519	18.54033654	22.09824074	21.38627315
34.9419213	18.95212766	22.21229167	19.93481481
34.93819444	19.06939236	22.92011574	19.70259259
34.98671296	18.61447674	22.10608796	19.94569444
34.99472222	18.44484375	21.76159722	20.18858796
35.00430556	18.36102431	21.60048611	19.04680556
35.01956019	18.38177083	21.49416667	18.64050926
35.05159722	18.39541667	21.40085648	18.4224537
35.10900463	18.61355903	21.34333333	18.28310185
35.15824074	19.20666667	21.50381944	18.14071759
35.18351852	18.95805556	21.51060185	18.22291667
35.07483796	18.69265625	21.43414352	18.57416667
35.07833333	18.53183566	21.368125	18.46928241
35.07347222	19.03764019	22.34085648	18.28543981
35.08717593	18.90416667	22.33810945	18.554375
35.09782407	18.71439236	22.04930556	20.16837963
35.15428241	18.56026042	21.88696677	19.22708333
35.0812037	18.7159375	21.89434634	18.75321759
35.08210648	18.83036458	21.81102587	18.78393519
35.03509259	18.61647569	21.67168649	19.51148148
34.95805556	18.46980903	21.59518784	18.99738426
35.07722611	18.39090278	21.50020396	18.65081019
35.06710648	18.52144097	21.7035788	18.46675926
35.04069444	18.64449653	21.64562918	18.50613426
34.93118056	18.52244792	21.55450726	19.37293981
34.95076389	18.40135417	21.48977873	18.89465278
34.95268519	18.32383681	21.4630278	18.58543981
35.05247685	18.30397569	21.45892327	18.41289352
34.92935185	18.26440972	21.44033333	18.38685185
34.92270833	18.31256944	21.89645833	18.33900463
34.92886574	18.64873264	22.28930556	18.24118863
34.96469907	18.69144097	22.07743056	19.5362037
35.03861111	18.58012153	21.87979167	19.33678241
35.02847222	18.48381944	21.73178241	18.88645833
35.04085648	18.41921875	21.64766204	18.60486111
35.07518519	18.3525	21.56895833	18.43928241
35.15615741	18.33791667	21.69400463	18.33166667
35.1941958	18.58444444	22.40469907	18.27601852
35.25594907	18.70973958	22.23423611	19.46800926
35.15530093	18.69578125	22.09881944	19.55548611
35.13636574	18.61475694	21.92657407	19.22863426
35.08456019	18.51390625	21.78298611	18.91388889
35.17895833	18.46883117	21.67805556	18.65731481
35.25233796	18.9825974	21.61011574	18.47543981
35.28780093	19.18065634	21.57571096	18.24972222
35.38303241	19.49636364	22.65962963	19.90678241
35.36287037	19.37871528	22.74506944	19.83974537
35.27585648	19.01295139	22.25185185	19.21175926
35.25527778	18.82699653	22.03847222	18.90944444
35.28881944	18.70375	21.90851852	18.7025463
35.33337963	18.60052083	21.79386574	18.50930556
35.31268519	19.15588235	22.21143519	19.2562963
35.27918981	19.44732639	22.82449074	19.89652778
35.28148148	19.52692708	23.18872685	20.67546296
35.2881713	19.30355903	22.51930556	19.53141204
35.25108796	18.99784722	22.1287037	19.02916667
35.1012037	18.78933566	21.9420979	18.70202797
35.14226852	18.6763253	21.86083333	18.53949074
